seq_no,epoch,timestamp,ip,temp
155,1591445101,Sat Jun 6 05:05:01 PDT 2020,128.111.45.161,116.600000
156,1591445401,Sat Jun 6 05:10:01 PDT 2020,128.111.45.161,127.400000
157,1591445701,Sat Jun 6 05:15:01 PDT 2020,128.111.45.161,116.600000
158,1591446001,Sat Jun 6 05:20:01 PDT 2020,128.111.45.161,116.600000
159,1591446301,Sat Jun 6 05:25:01 PDT 2020,128.111.45.161,116.600000
160,1591446601,Sat Jun 6 05:30:01 PDT 2020,128.111.45.161,116.600000
161,1591446901,Sat Jun 6 05:35:01 PDT 2020,128.111.45.161,116.600000
162,1591447201,Sat Jun 6 05:40:01 PDT 2020,128.111.45.161,116.600000
163,1591447501,Sat Jun 6 05:45:01 PDT 2020,128.111.45.161,116.600000
164,1591447801,Sat Jun 6 05:50:01 PDT 2020,128.111.45.161,114.800000
165,1591448101,Sat Jun 6 05:55:01 PDT 2020,128.111.45.161,116.600000
166,1591448401,Sat Jun 6 06:00:01 PDT 2020,128.111.45.161,116.600000
167,1591448701,Sat Jun 6 06:05:01 PDT 2020,128.111.45.161,114.800000
168,1591449001,Sat Jun 6 06:10:01 PDT 2020,128.111.45.161,114.800000
169,1591449301,Sat Jun 6 06:15:01 PDT 2020,128.111.45.161,116.600000
170,1591449601,Sat Jun 6 06:20:01 PDT 2020,128.111.45.161,116.600000
171,1591449901,Sat Jun 6 06:25:01 PDT 2020,128.111.45.161,143.600000
172,1591450201,Sat Jun 6 06:30:01 PDT 2020,128.111.45.161,116.600000
173,1591450501,Sat Jun 6 06:35:01 PDT 2020,128.111.45.161,118.400000
174,1591450801,Sat Jun 6 06:40:01 PDT 2020,128.111.45.161,116.600000
175,1591451101,Sat Jun 6 06:45:01 PDT 2020,128.111.45.161,116.600000
176,1591451401,Sat Jun 6 06:50:01 PDT 2020,128.111.45.161,116.600000
177,1591451701,Sat Jun 6 06:55:01 PDT 2020,128.111.45.161,116.600000
178,1591452001,Sat Jun 6 07:00:01 PDT 2020,128.111.45.161,116.600000
179,1591452301,Sat Jun 6 07:05:01 PDT 2020,128.111.45.161,116.600000
180,1591452601,Sat Jun 6 07:10:01 PDT 2020,128.111.45.161,116.600000
181,1591452902,Sat Jun 6 07:15:02 PDT 2020,128.111.45.161,116.600000
182,1591453201,Sat Jun 6 07:20:01 PDT 2020,128.111.45.161,114.800000
183,1591453501,Sat Jun 6 07:25:01 PDT 2020,128.111.45.161,114.800000
184,1591453801,Sat Jun 6 07:30:01 PDT 2020,128.111.45.161,120.200000
185,1591454101,Sat Jun 6 07:35:01 PDT 2020,128.111.45.161,118.400000
186,1591454401,Sat Jun 6 07:40:01 PDT 2020,128.111.45.161,116.600000
187,1591454701,Sat Jun 6 07:45:01 PDT 2020,128.111.45.161,116.600000
188,1591455001,Sat Jun 6 07:50:01 PDT 2020,128.111.45.161,116.600000
189,1591455301,Sat Jun 6 07:55:01 PDT 2020,128.111.45.161,116.600000
190,1591455601,Sat Jun 6 08:00:01 PDT 2020,128.111.45.161,116.600000
191,1591455901,Sat Jun 6 08:05:01 PDT 2020,128.111.45.161,118.400000
192,1591456201,Sat Jun 6 08:10:01 PDT 2020,128.111.45.161,116.600000
193,1591456501,Sat Jun 6 08:15:01 PDT 2020,128.111.45.161,118.400000
194,1591456801,Sat Jun 6 08:20:01 PDT 2020,128.111.45.161,116.600000
195,1591457101,Sat Jun 6 08:25:01 PDT 2020,128.111.45.161,118.400000
196,1591457401,Sat Jun 6 08:30:01 PDT 2020,128.111.45.161,116.600000
197,1591457701,Sat Jun 6 08:35:01 PDT 2020,128.111.45.161,116.600000
198,1591458002,Sat Jun 6 08:40:02 PDT 2020,128.111.45.161,123.800000
199,1591458301,Sat Jun 6 08:45:01 PDT 2020,128.111.45.161,114.800000
200,1591458601,Sat Jun 6 08:50:01 PDT 2020,128.111.45.161,116.600000
201,1591458901,Sat Jun 6 08:55:01 PDT 2020,128.111.45.161,116.600000
202,1591459201,Sat Jun 6 09:00:01 PDT 2020,128.111.45.161,116.600000
203,1591459501,Sat Jun 6 09:05:01 PDT 2020,128.111.45.161,114.800000
204,1591459801,Sat Jun 6 09:10:01 PDT 2020,128.111.45.161,116.600000
205,1591460101,Sat Jun 6 09:15:01 PDT 2020,128.111.45.161,116.600000
206,1591460401,Sat Jun 6 09:20:01 PDT 2020,128.111.45.161,116.600000
207,1591460701,Sat Jun 6 09:25:01 PDT 2020,128.111.45.161,116.600000
